model,patient_id,transition_index,tc_method1_raw,tc_method2_flow_warped,current_empty,previous_empty
standard,P011,182,0.995902,0.995902,0,0
standard,P011,183,0.990411,0.990411,0,0
standard,P011,184,0.982199,0.980709,0,0
standard,P011,185,0.976344,0.981962,0,0
standard,P011,186,0.98274,0.977037,0,0
standard,P011,187,0.976431,0.953764,0,0
standard,P011,188,0.984487,0.964598,0,0
standard,P011,189,0.989305,0.97687,0,0
standard,P011,190,0.98458,0.968069,0,0
standard,P011,191,0.987664,0.973204,0,0
standard,P011,192,0.986883,0.982087,0,0
standard,P011,193,0.99261,0.97884,0,0
standard,P011,194,0.984603,0.98215,0,0
standard,P011,195,0.978689,0.978896,0,0
standard,P011,196,0.990268,0.990268,0,0
standard,P011,197,0.988264,0.988264,0,0
standard,P011,198,0.989196,0.989196,0,0
standard,P011,199,0.989756,0.989756,0,0
standard,P012,1,0.974231,0.974743,0,0
standard,P012,2,0.988327,0.988327,0,0
standard,P012,3,0.815982,0.95388,0,0
standard,P012,4,0.969143,0.984678,0,0
standard,P012,5,0.984988,0.980675,0,0
standard,P012,6,0.972182,0.972182,0,0
standard,P012,7,0.968457,0.96968,0,0
standard,P012,8,0.96697,0.979873,0,0
standard,P012,9,0.997729,0.997729,0,0
standard,P012,10,0.878239,0.951076,0,0
standard,P012,11,0.971948,0.983633,0,0
standard,P012,12,0.917231,0.968524,0,0
standard,P012,13,0.930999,0.972336,0,0
standard,P012,14,0.966395,0.980472,0,0
standard,P012,15,0.966801,0.977057,0,0
standard,P012,16,0.967359,0.982767,0,0
standard,P012,17,0.979781,0.982533,0,0
standard,P012,18,0.970539,0.974702,0,0
standard,P012,19,0.986547,0.986314,0,0
standard,P012,20,0.983852,0.981456,0,0
standard,P012,21,0.989277,0.988383,0,0
standard,P012,22,0.92645,0.979127,0,0
standard,P012,23,0.989084,0.989084,0,0
standard,P012,24,0.984142,0.986184,0,0
standard,P012,25,0.989544,0.989314,0,0
standard,P012,26,0.915048,0.977601,0,0
standard,P012,27,0.982981,0.983215,0,0
standard,P012,28,0.93293,0.975046,0,0
standard,P012,29,0.987234,0.987234,0,0
standard,P012,30,0.990795,0.990795,0,0
standard,P012,31,0.987383,0.986034,0,0
standard,P012,32,0.993973,0.993973,0,0
standard,P012,33,0.984296,0.984758,0,0
standard,P012,34,0.930032,0.979555,0,0
standard,P012,35,0.994865,0.994865,0,0
standard,P012,36,0.991099,0.991099,0,0
standard,P012,37,0.924871,0.975423,0,0
standard,P012,38,0.988881,0.988881,0,0
standard,P012,39,0.991967,0.991967,0,0
standard,P012,40,0.979288,0.984157,0,0
standard,P012,41,0.975484,0.98309,0,0
standard,P012,42,0.989734,0.989734,0,0
standard,P012,43,0.991767,0.991767,0,0
standard,P012,44,0.987724,0.987724,0,0
standard,P012,45,0.927103,0.972885,0,0
standard,P012,46,0.91729,0.978312,0,0
standard,P012,47,0.992901,0.992901,0,0
standard,P012,48,0.924057,0.974057,0,0
